Country,Population,Yearly Change,Net Change,Urban,Land Area,Med Age,Regions
Reunion,895312,0.0072,6385,0.29,2500,36,Africa
Comoros,869601,0.022,18715,0.87,1861,20,Africa
Western Sahara,597339,0.0255,14876,0.68,266000,28,Africa
Cabo Verde,555987,0.011,6052,0.46,4030,28,Africa
Mayotte,272815,0.025,6665,0.74,375,20,Africa
Sao Tome & Principe,219159,0.0191,4103,0.56,960,19,Africa
Seychelles,98347,0.0062,608,0.27,460,34,Africa
Saint Helena,6077,0.003,18,0.74,390,N.A.,Africa
Russia,145934462,0.0004,62206,0.76,16376870,40,Europe
Germany,83783942,0.0032,266897,0.83,348560,46,Europe
United Kingdom,67886011,0.0053,355839,0.82,241930,40,Europe
France,65273511,0.0022,143783,0.69,547557,42,Europe
Italy,60461826,-0.0015,-88249,0.80,294140,47,Europe
Spain,46754778,0.0004,18002,0.69,498800,45,Europe
Ukraine,43733762,-0.0059,-259876,0.60,579320,41,Europe
Poland,37846611,-0.0011,-41157,0.55,306230,42,Europe
Romania,19237691,-0.0066,-126866,0.92,230170,43,Europe
Netherlands,17134872,0.0022,37742,0.98,33720,43,Europe
Belgium,11589623,0.0044,50295,0.74,30280,42,Europe
Czech Republic (Czechia),10708981,0.0018,19772,0.85,77240,43,Europe
Greece,10423054,-0.0048,-50401,0.66,128900,46,Europe
Portugal,10196709,-0.0029,-29478,0.88,91590,46,Europe
Sweden,10099265,0.0063,62886,0.72,410340,41,Europe
Hungary,9660351,-0.0025,-24328,0.79,90530,43,Europe
Belarus,9449323,-0.0003,-3088,0.57,202910,40,Europe
Austria,9006398,0.0057,51296,0.56,82409,43,Europe
Serbia,8737371,-0.004,-34864,0.74,87460,42,Europe
Switzerland,8654622,0.0074,63257,0.76,39516,43,Europe
Bulgaria,6948445,-0.0074,-51674,0.88,108560,45,Europe
Denmark,5792202,0.0035,20326,0.86,42430,42,Europe
Finland,5540720,0.0015,8564,0.54,303890,43,Europe
Slovakia,5459642,0.0005,2629,0.83,48088,41,Europe
Norway,5421241,0.0079,42384,0.63,365268,40,Europe
Ireland,4937786,0.0113,55291,0.58,68890,38,Europe
Croatia,4105267,-0.0061,-25037,0.43,55960,44,Europe
Moldova,4033963,-0.0023,-9300,0.52,32850,38,Europe
Bosnia and Herzegovina,3280819,-0.0061,-20181,0.63,51000,43,Europe
Albania,2877797,-0.0011,-3120,0.71,27400,36,Europe
Lithuania,2722289,-0.0135,-37338,0.59,62674,45,Europe
North Macedonia,2083374,0,-85,0.55,25220,39,Europe
Slovenia,2078938,0.0001,284,0.69,20140,45,Europe
Latvia,1886198,-0.0108,-20545,0.68,62200,44,Europe
Estonia,1326535,0.0007,887,0.68,42390,42,Europe
Montenegro,628066,0.0001,79,0.88,13450,39,Europe
Luxembourg,625978,0.0166,10249,0.93,2590,40,Europe
Malta,441543,0.0027,1171,0.94,320,43,Europe
Iceland,341243,0.0065,2212,0.30,100250,37,Europe
Channel Islands,173863,0.0093,1604,0.53,190,43,Europe
Isle of Man,85033,0.0053,449,0.88,570,N.A.,Europe
Andorra,77265,0.0016,123,0.43,470,N.A.,Europe
Faeroe Islands,48863,0.0038,185,N.A.,1396,N.A.,Europe
Monaco,39242,0.0071,278,0.15,1,N.A.,Europe
Liechtenstein,38128,0.0029,109,0.97,160,N.A.,Europe
San Marino,33931,0.0021,71,N.A.,60,N.A.,Europe
Gibraltar,33691,-0.0003,-10,N.A.,10,N.A.,Europe
Holy See,801,0.0025,2,0.88,0,N.A.,Europe
Brazil,212559417,0.0072,1509890,0.84,8358140,33,Latin America & Caribbean
Mexico,128932753,0.0106,1357224,0.80,1943950,29,Latin America & Caribbean
Colombia,50882891,0.0108,543448,0.93,1109500,31,Latin America & Caribbean
Argentina,45195774,0.0093,415097,0.79,2736690,32,Latin America & Caribbean
Peru,32971854,0.0142,461401,N.A.,1280000,31,Latin America & Caribbean
Venezuela,28435940,-0.0028,-79889,0.85,882050,30,Latin America & Caribbean
Chile,19116201,0.0087,164163,0.52,743532,35,Latin America & Caribbean
Guatemala,17915568,0.019,334096,0.63,107160,23,Latin America & Caribbean
Ecuador,17643054,0.0155,269392,0.69,248360,28,Latin America & Caribbean
Bolivia,11673021,0.0139,159921,0.78,1083300,26,Latin America & Caribbean
Cuba,11326616,-0.0006,-6867,0.57,106440,42,Latin America & Caribbean
Haiti,11402528,0.0124,139451,0.85,27560,24,Latin America & Caribbean
Dominican Republic,10847910,0.0101,108952,0.57,48320,28,Latin America & Caribbean
Honduras,9904607,0.0163,158490,0.62,111890,24,Latin America & Caribbean
Paraguay,7132538,0.0125,87902,0.57,397300,26,Latin America & Caribbean
Nicaragua,6624554,0.0121,79052,0.73,120340,26,Latin America & Caribbean
El Salvador,6486205,0.0051,32652,0.80,20720,28,Latin America & Caribbean
Costa Rica,5094118,0.0092,46557,0.68,51060,33,Latin America & Caribbean
Panama,4314767,0.0161,68328,0.96,74340,30,Latin America & Caribbean
Uruguay,3473730,0.0035,11996,0.55,175020,36,Latin America & Caribbean
Jamaica,2961167,0.0044,12888,N.A.,10830,31,Latin America & Caribbean
Puerto Rico,2860853,-0.0247,-72555,0.52,8870,44,Latin America & Caribbean
Trinidad and Tobago,1399488,0.0032,4515,0.27,5130,36,Latin America & Caribbean
Guyana,786552,0.0048,3786,0.65,196850,27,Latin America & Caribbean
Suriname,586632,0.009,5260,N.A.,156000,29,Latin America & Caribbean
Guadeloupe,400124,0.0002,68,0.46,1690,44,Latin America & Caribbean
Belize,397628,0.0186,7275,0.86,22810,25,Latin America & Caribbean
Bahamas,393244,0.0097,3762,0.92,10010,32,Latin America & Caribbean
Martinique,375265,-0.0008,-289,0.87,1060,47,Latin America & Caribbean
French Guiana,298682,0.027,7850,0.31,82200,25,Latin America & Caribbean
Barbados,287375,0.0012,350,0.19,430,40,Latin America & Caribbean
Saint Lucia,183627,0.0046,837,0.89,610,34,Latin America & Caribbean
Curacao,164093,0.0041,669,0.35,444,42,Latin America & Caribbean
Grenada,112523,0.0046,520,0.53,340,32,Latin America & Caribbean
St. Vincent & Grenadines,110940,0.0032,351,0.44,390,33,Latin America & Caribbean
Aruba,106766,0.0043,452,0.96,180,41,Latin America & Caribbean
U.S. Virgin Islands,104425,-0.0015,-153,0.26,350,43,Latin America & Caribbean
Antigua and Barbuda,97929,0.0084,811,0.74,440,34,Latin America & Caribbean
Dominica,71986,0.0025,178,0.97,750,N.A.,Latin America & Caribbean
Cayman Islands,65722,0.0119,774,0.33,240,N.A.,Latin America & Caribbean
Saint Kitts & Nevis,53199,0.0071,376,0.96,260,N.A.,Latin America & Caribbean
Sint Maarten,42876,0.0115,488,0.89,34,N.A.,Latin America & Caribbean
Turks and Caicos,38717,0.0138,526,0.00,950,N.A.,Latin America & Caribbean
Saint Martin,38666,0.0175,664,0.52,53,N.A.,Latin America & Caribbean
British Virgin Islands,30231,0.0067,201,0.75,150,N.A.,Latin America & Caribbean
Caribbean Netherlands,26223,0.0094,244,N.A.,328,N.A.,Latin America & Caribbean
Anguilla,15003,0.009,134,0.10,90,N.A.,Latin America & Caribbean
Montserrat,4992,0.0006,3,0.66,100,N.A.,Latin America & Caribbean
Falkland Islands,3480,0.0305,103,0.83,12170,N.A.,Latin America & Caribbean
United States,331002651,0.0059,1937734,0.81,9147420,38,Northern America
Canada,37742154,0.0089,331107,0.97,9093510,41,Northern America
Bermuda,62278,-0.0036,-228,0.87,50,N.A.,Northern America
Greenland,56770,0.0017,98,0.86,410450,N.A.,Northern America
Australia,25499884,0.0118,296686,0.13,7682300,38,Oceania
Papua New Guinea,8947024,0.0195,170915,0.87,452860,22,Oceania
New Zealand,4822233,0.0082,39170,0.59,263310,38,Oceania
Fiji,896445,0.0073,6492,0.23,18270,28,Oceania
Solomon Islands,686884,0.0255,17061,0.68,27990,20,Oceania
Micronesia,548914,0.01,5428,0.24,700,27,Oceania
Vanuatu,307145,0.0242,7263,0.72,12190,21,Oceania
New Caledonia,285498,0.0097,2748,0.64,18280,34,Oceania
French Polynesia,280908,0.0058,1621,0.18,3660,34,Oceania
Samoa,198414,0.0067,1317,0.95,2830,22,Oceania
Guam,168775,0.0089,1481,0.57,540,31,Oceania
Kiribati,119449,0.0157,1843,0.24,810,23,Oceania
Tonga,105695,0.0115,1201,0.70,720,22,Oceania
Marshall Islands,59190,0.0068,399,0.88,180,N.A.,Oceania
Northern Mariana Islands,57559,0.006,343,0.88,460,N.A.,Oceania
American Samoa,55191,-0.0022,-121,N.A.,200,N.A.,Oceania
Palau,18094,0.0048,86,0.75,460,N.A.,Oceania
Cook Islands,17564,0.0009,16,0.62,240,N.A.,Oceania
Tuvalu,11792,0.0125,146,0.00,30,N.A.,Oceania
Wallis & Futuna,11239,-0.0169,-193,N.A.,140,N.A.,Oceania
Nauru,10824,0.0063,68,0.46,20,N.A.,Oceania
Niue,1626,0.0068,11,0.00,260,N.A.,Oceania
Tokelau,1357,0.0127,17,,10,N.A.,Oceania
